Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
GSL Academy,2b54ce67-5afd-4a10-a4f1-a07f6ad790ed,Leading With Emotional Intelligence ,"Develop all five EQ competencies: self-awareness, self-regulation, self-motivation, empathy, and social skills for effective leadership.","<p>Comprehensive course covering all five emotional intelligence competencies in depth with practical techniques and interactive scenarios throughout. Covers STOPP technique, cognitive reappraisal, SMART goals, active listening, perspective-taking, and seven social skills.</p>",,Emotional Intelligence; Leadership; Social Skills; Empathy,
GSL Academy,72e045f2-ef32-41ad-89f7-a4134de955b6,Values Driven Leadership -  05 Making Reads,"Develop situational awareness to read the room, adapt your leadership style, and lead effectively through uncertainty.","<p>Teaches leaders to observe without judgment, ask before acting, and shift roles (coach, strategist, cheerleader) as situations demand. Covers leading through uncertainty by anchoring in core values, modeling steady behavior, and being transparent. Includes matching exercises and a quiz on adaptability and situational awareness.</p>",Continuous Improvement; Respect For People,Mentor; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,221754f3-5f1f-4bd3-b031-a518061bf62a,Human and AI Collaboration - Fluidbook,Human and AI Collaboration refers to the partnership between human intelligence and artificial intelligence systems to achieve goals more efficiently and effectively than either could alone. Learn more in this fluidbook.,Human and AI Collaboration refers to the partnership between human intelligence and artificial intelligence systems to achieve goals more efficiently and effectively than either could alone. Learn more in this fluidbook.,,Human and AI Collaboration,
GSL Academy,18fe97de-2680-4594-a7a5-a56591bc5456,Qualified Person - Electrical Shock & Arc Flash Risk Assessments (Safety-Related Work Practices),"Learn about electrical shock and arc flash risk assessments, energized work permits, and safety-related work practices under NFPA 70E.","<p>Covers risk assessment procedures under NFPA 70E including when energized work is permitted, tasks not requiring an Energized Electrical Work Permit, and Safety Coordinator review requirements. Multiple-choice and multi-select quizzes.</p>",,NFPA 70E; Electrical Safety; Hazards; Arc Flash; Safety,
GSL Academy,021a9053-6a1f-488a-92a8-a826d07f7bef,Critical Leadership Training - 03 New Manager 101,"Guides new managers through building credibility, earning respect from former peers, communicating purpose, and developing leadership capital.","<p>Prepares newly promoted managers for the transition to leadership, covering performance excellence, regular communication, relationship building, and proactive initiative. Five fill-in-the-blank knowledge checks.</p>",,Relationships; Extreme Ownership; Humility; Decision-Making; Why; Team Morale; Stratagy; Leadership; Empower Your Team,
GSL Academy,4ec26975-96c8-4a17-9fa6-a9bfe5be5844,Values Driven Leadership - 16 Make a Habit of Motivation,"Build sustainable motivation habits through goal-setting, celebrating small wins, maintaining a growth mindset, and leading by example.","<p>Seven-lesson chapter on making motivation a daily practice. Covers five personal motivation strategies (clear goals, celebrating wins, growth mindset, starting strong, consistency over intensity) and four leadership motivation strategies (connect effort to impact, recognize effort, model enthusiasm, keep goals visible). Includes matching exercises and knowledge checks.</p>",Continuous Improvement; Respect For People,Mentor; Communication; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship; Recognition,
GSL Academy,b5f46f65-f5b6-4d8e-9c52-aa0107e03e73,"Field Leadership – Skills, Traits, & Responsibilities - 12 Using Tool and Technology","Explore how tablets, smartphones, cloud storage, and digital checklists improve efficiency and safety on the jobsite.","<p>Introduces field technology tools including tablets, smartphones, cloud storage, and digital inspection checklists. Learners evaluate how these technologies streamline processes and enhance safety.</p>",,Computer Skills; Communication; Project Management; Data Management,
GSL Academy,9ea219b2-f561-4bc0-9bf7-ab8d93437ef5,Motivating Your Team,Strategies for understanding what motivates your team and applying proven techniques to increase engagement and performance.,"<p>Explores intrinsic and extrinsic motivation, teaches managers how to identify individual motivators through observation and direct inquiry, and provides six strategies for increasing employee motivation. Covers job satisfaction factors, autonomy, meaningful work, challenge calibration, and celebrating wins through recognition and rewards. Includes interactive scenarios and knowledge checks.</p>",,Emotional Intelligence; Discipline; Mentor; Communication; Growth; Motivation; Empowerment; Performance; Coaching; Positivity; Field Leadership,
GSL Academy,f1c2f822-88a9-4372-8ca2-ad2aa58c3592,Safety Coordinator - 10.0 Injury & Case Management,"Learn GSL's injury and case management procedures, including first response priorities and documentation requirements.","<p>Covers injury and case management protocols: prioritizing medical attention, securing the scene, completing paperwork, and coordinating with the Safety Director. Knowledge check.</p>",,First Aid; Injury & Case Management; Action; Safety Culture,
GSL Academy,790f478d-a951-425f-82b1-ad6f711c3f9e,"Preventing Slips, Trips and Falls","Learn to recognize and prevent common slip, trip, and fall hazards in the workplace.","<p>Video-based course covering identification and prevention of slip, trip, and fall hazards on job sites.</p>",,Slips; Falls; Trips; Safety,
GSL Academy,b5d768ca-44fd-4699-a251-adc1a48ed060,Values Driven Leadership -  08 Effective Communication,"Master real-time communication, create an environment for open dialogue, and elevate your meetings as a leader.","<p>Four-part chapter covering: communicating in real time (setting expectations, leading by example, removing barriers), creating communication-friendly environments (psychological safety, respectful listening, consistency, confidentiality), and elevating meetings (purpose, agenda, right attendees, materials). Includes matching exercises and knowledge checks.</p>",Respect For People,Mentor; Communication; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,e70ad93e-0560-4f7b-89f7-b1b6e20d1cc8,Safely Accessing a Scaffold,Learn safe methods for accessing and climbing scaffold platforms on the job site.,<p>Video-based course covering safe scaffold access including proper climbing techniques and access point requirements.</p>,,Scaffolding; Safety,
GSL Academy,9cee44f3-f2ed-4305-b401-b509fdbcbd34,Leading With Emotional Intelligence - 05 Developing Empathy,"Learn the difference between sympathy and empathy, and develop five practical techniques for building empathetic connections with others.","<p>Distinguishes sympathy from empathy within the social competence framework. Teaches five techniques: active listening, being present, getting curious, perspective-taking, and relating to feelings. Interactive exercises.</p>",,Active Listening; Emotional Understanding; Empathy,
GSL Academy,fd58f06c-6d7e-4881-9bee-b57edef170c4,Hazard Communication,"Comprehensive HazCom training covering the GHS system, chemical hazards, container labels, pictograms, safety data sheets, and the written HazCom plan.","<p>10-lesson thorough HazCom training: written HazCom plan, GHS system, chemical hazard types, container labels, hazard/precautionary statements, pictograms, and safety data sheets. Nine-question cumulative quiz. Video-based.</p>",,Communication; Hazards; OSHA; Safety,
